,File,Start,End,Roll Amount,Label,2D Predictions,Resnet Predictions
0,2024-05-20_10_53_33.wav,0,2400,0,0,0,0
1,2024-05-20_10_53_33.wav,2400,4800,0,0,0,0
2,2024-05-20_10_53_33.wav,4800,7200,0,0,0,0
3,2024-05-20_10_53_33.wav,7200,9600,0,0,0,0
4,2024-05-20_10_53_33.wav,9600,12000,0,0,0,0
5,2024-05-20_10_53_33.wav,12000,14400,0,0,0,0
6,2024-05-20_10_53_33.wav,14400,16800,0,0,0,0
7,2024-05-20_10_53_33.wav,16800,19200,0,0,0,0
8,2024-05-20_10_53_33.wav,19200,21600,0,0,0,0
9,2024-05-20_10_53_33.wav,21600,24000,0,0,0,0
10,2024-05-20_10_53_33.wav,24000,26400,0,0,0,0
11,2024-05-20_10_53_33.wav,26400,28800,0,0,0,0
12,2024-05-20_10_53_33.wav,28800,31200,0,0,0,0
13,2024-05-20_10_53_33.wav,31200,33600,0,0,0,0
14,2024-05-20_10_53_33.wav,33600,36000,0,0,0,0
15,2024-05-20_10_53_33.wav,36000,38400,0,0,0,0
16,2024-05-20_10_53_33.wav,38400,40800,0,0,0,0
17,2024-05-20_10_53_33.wav,40800,43200,0,0,0,0
18,2024-05-20_10_53_33.wav,43200,45600,0,0,0,0
19,2024-05-20_10_53_33.wav,45600,48000,0,0,0,0
20,2024-05-20_10_53_33.wav,48000,50400,0,0,0,0
21,2024-05-20_10_53_33.wav,50400,52800,0,0,0,0
22,2024-05-20_10_53_33.wav,52800,55200,0,0,0,0
23,2024-05-20_10_53_33.wav,55200,57600,0,0,0,0
24,2024-05-20_10_53_33.wav,57600,60000,0,0,0,0
25,2024-05-20_10_53_33.wav,60000,62400,0,0,0,0
26,2024-05-20_10_53_33.wav,62400,64800,0,0,0,0
27,2024-05-20_10_53_33.wav,64800,67200,0,0,0,0
28,2024-05-20_10_53_33.wav,67200,69600,0,0,0,0
29,2024-05-20_10_53_33.wav,69600,72000,0,0,0,0
30,2024-05-20_10_53_33.wav,72000,74400,0,0,0,0
31,2024-05-20_10_53_33.wav,74400,76800,0,0,0,0
32,2024-05-20_10_53_33.wav,76800,79200,0,0,0,0
33,2024-05-20_10_53_33.wav,79200,81600,0,0,0,0
34,2024-05-20_10_53_33.wav,81600,84000,0,0,0,0
35,2024-05-20_10_53_33.wav,84000,86400,0,0,0,0
36,2024-05-20_10_53_33.wav,86400,88800,0,0,0,0
37,2024-05-20_10_53_33.wav,88800,91200,0,0,0,0
38,2024-05-20_10_53_33.wav,91200,93600,0,0,0,0
39,2024-05-20_10_53_33.wav,93600,96000,0,0,0,0
40,2024-05-20_10_53_33.wav,96000,98400,0,0,0,0
41,2024-05-20_10_53_33.wav,98400,100800,0,0,0,0
42,2024-05-20_10_53_33.wav,100800,103200,0,0,0,0
43,2024-05-20_10_53_33.wav,103200,105600,0,0,0,0
44,2024-05-20_10_53_33.wav,105600,108000,0,0,0,0
45,2024-05-20_10_53_33.wav,108000,110400,0,0,0,0
46,2024-05-20_10_53_33.wav,110400,112800,0,0,0,0
47,2024-05-20_10_53_33.wav,112800,115200,0,0,0,0
48,2024-05-20_10_53_33.wav,115200,117600,0,0,0,0
49,2024-05-20_10_53_33.wav,117600,120000,0,0,0,0
50,2024-05-20_10_53_33.wav,120000,122400,0,0,0,0
51,2024-05-20_10_53_33.wav,122400,124800,0,0,0,0
52,2024-05-20_10_53_33.wav,124800,127200,0,0,0,0
53,2024-05-20_10_53_33.wav,127200,129600,0,0,0,0
54,2024-05-20_10_53_33.wav,129600,132000,0,0,0,0
55,2024-05-20_10_53_33.wav,132000,134400,0,0,0,0
56,2024-05-20_10_53_33.wav,134400,136800,0,0,0,0
57,2024-05-20_10_53_33.wav,136800,139200,0,0,0,0
58,2024-05-20_10_53_33.wav,139200,141600,0,0,0,0
59,2024-05-20_10_53_33.wav,141600,144000,0,0,0,0
60,2024-05-20_10_53_33.wav,144000,146400,0,0,0,0
61,2024-05-20_10_53_33.wav,146400,148800,0,0,0,0
62,2024-05-20_10_53_33.wav,148800,151200,0,0,0,0
63,2024-05-20_10_53_33.wav,151200,153600,0,0,0,0
64,2024-05-20_10_53_33.wav,153600,156000,0,0,0,0
65,2024-05-20_10_53_33.wav,156000,158400,0,0,0,0
66,2024-05-20_10_53_33.wav,158400,160800,0,0,0,0
67,2024-05-20_10_53_33.wav,160800,163200,0,0,0,0
68,2024-05-20_10_53_33.wav,163200,165600,0,0,0,0
69,2024-05-20_10_53_33.wav,165600,168000,0,0,0,0
70,2024-05-20_10_53_33.wav,168000,170400,0,0,0,0
71,2024-05-20_10_53_33.wav,170400,172800,0,0,0,0
72,2024-05-20_10_53_33.wav,172800,175200,0,0,0,0
73,2024-05-20_10_53_33.wav,175200,177600,0,0,0,0
74,2024-05-20_10_53_33.wav,177600,180000,0,0,0,0
75,2024-05-20_10_53_33.wav,180000,182400,0,0,0,0
76,2024-05-20_10_53_33.wav,182400,184800,0,0,0,0
77,2024-05-20_10_53_33.wav,184800,187200,0,0,0,0
78,2024-05-20_10_53_33.wav,187200,189600,0,0,0,0
79,2024-05-20_10_53_33.wav,189600,192000,0,0,0,0
80,2024-05-20_10_53_33.wav,192000,194400,0,0,0,0
81,2024-05-20_10_53_33.wav,194400,196800,0,0,0,0
82,2024-05-20_10_53_33.wav,196800,199200,0,0,0,0
83,2024-05-20_10_53_33.wav,199200,201600,0,0,0,0
84,2024-05-20_10_53_33.wav,201600,204000,0,0,0,0
85,2024-05-20_10_53_33.wav,204000,206400,0,0,0,0
86,2024-05-20_10_53_33.wav,206400,208800,0,0,0,0
87,2024-05-20_10_53_33.wav,208800,211200,0,0,0,0
88,2024-05-20_10_53_33.wav,211200,213600,0,0,0,0
89,2024-05-20_10_53_33.wav,213600,216000,0,0,0,0
90,2024-05-20_10_53_33.wav,216000,218400,0,0,0,0
91,2024-05-20_10_53_33.wav,218400,220800,0,0,0,0
92,2024-05-20_10_53_33.wav,220800,223200,0,0,0,0
93,2024-05-20_10_53_33.wav,223200,225600,0,0,0,0
94,2024-05-20_10_53_33.wav,225600,228000,0,0,0,0
95,2024-05-20_10_53_33.wav,228000,230400,0,0,0,0
96,2024-05-20_10_53_33.wav,230400,232800,0,0,0,0
97,2024-05-20_10_53_33.wav,232800,235200,0,0,0,0
98,2024-05-20_10_53_33.wav,235200,237600,0,0,0,0
99,2024-05-20_10_53_33.wav,237600,240000,0,0,0,0
100,2024-05-20_10_53_33.wav,240000,242400,0,0,0,0
101,2024-05-20_10_53_33.wav,242400,244800,0,0,0,0
102,2024-05-20_10_53_33.wav,244800,247200,0,0,0,0
103,2024-05-20_10_53_33.wav,247200,249600,0,0,0,0
104,2024-05-20_10_53_33.wav,249600,252000,0,0,0,0
105,2024-05-20_10_53_33.wav,252000,254400,0,0,0,0
106,2024-05-20_10_53_33.wav,254400,256800,0,0,0,0
107,2024-05-20_10_53_33.wav,256800,259200,0,0,0,0
108,2024-05-20_10_53_33.wav,259200,261600,0,0,0,0
109,2024-05-20_10_53_33.wav,261600,264000,0,0,0,1
110,2024-05-20_10_53_33.wav,264000,266400,0,0,0,0
111,2024-05-20_10_53_33.wav,266400,268800,0,0,0,0
112,2024-05-20_10_53_33.wav,268800,271200,0,0,0,0
113,2024-05-20_10_53_33.wav,271200,273600,0,0,0,0
114,2024-05-20_10_53_33.wav,273600,276000,0,0,0,0
115,2024-05-20_10_53_33.wav,276000,278400,0,0,0,0
116,2024-05-20_10_53_33.wav,278400,280800,0,0,0,0
117,2024-05-20_10_53_33.wav,280800,283200,0,0,0,0
118,2024-05-20_10_53_33.wav,283200,285600,0,0,0,0
119,2024-05-20_10_53_33.wav,285600,288000,0,0,0,0
120,2024-05-20_10_53_33.wav,288000,290400,0,0,0,0
121,2024-05-20_10_53_33.wav,290400,292800,0,0,0,0
122,2024-05-20_10_53_33.wav,292800,295200,0,0,0,0
123,2024-05-20_10_53_33.wav,295200,297600,0,0,0,0
124,2024-05-20_10_53_33.wav,297600,300000,0,0,0,0
125,2024-05-20_10_53_33.wav,300000,302400,0,0,0,0
126,2024-05-20_10_53_33.wav,302400,304800,0,0,0,0
127,2024-05-20_10_53_33.wav,304800,307200,0,0,0,0
128,2024-05-20_10_53_33.wav,307200,309600,0,0,0,0
129,2024-05-20_10_53_33.wav,309600,312000,0,0,0,0
130,2024-05-20_10_53_33.wav,312000,314400,0,0,0,0
131,2024-05-20_10_53_33.wav,314400,316800,0,0,0,0
132,2024-05-20_10_53_33.wav,316800,319200,0,0,0,0
133,2024-05-20_10_53_33.wav,319200,321600,0,0,0,0
134,2024-05-20_10_53_33.wav,321600,324000,0,0,0,0
135,2024-05-20_10_53_33.wav,324000,326400,0,0,0,0
136,2024-05-20_10_53_33.wav,326400,328800,0,0,0,0
137,2024-05-20_10_53_33.wav,328800,331200,0,0,0,0
138,2024-05-20_10_53_33.wav,331200,333600,0,0,0,0
139,2024-05-20_10_53_33.wav,333600,336000,0,0,0,0
140,2024-05-20_10_53_33.wav,336000,338400,0,0,0,0
141,2024-05-20_10_53_33.wav,338400,340800,0,0,0,0
142,2024-05-20_10_53_33.wav,340800,343200,0,0,0,0
143,2024-05-20_10_53_33.wav,343200,345600,0,0,0,0
144,2024-05-20_10_53_33.wav,345600,348000,0,0,0,0
145,2024-05-20_10_53_33.wav,348000,350400,0,0,0,0
146,2024-05-20_10_53_33.wav,350400,352800,0,0,0,0
147,2024-05-20_10_53_33.wav,352800,355200,0,0,0,0
148,2024-05-20_10_53_33.wav,355200,357600,0,0,0,0
149,2024-05-20_10_53_33.wav,357600,360000,0,0,0,0
150,2024-05-20_10_53_33.wav,360000,362400,0,0,0,0
151,2024-05-20_10_53_33.wav,362400,364800,0,0,0,0
152,2024-05-20_10_53_33.wav,364800,367200,0,0,0,0
153,2024-05-20_10_53_33.wav,367200,369600,0,0,0,0
154,2024-05-20_10_53_33.wav,369600,372000,0,0,0,0
155,2024-05-20_10_53_33.wav,372000,374400,0,0,0,0
156,2024-05-20_10_53_33.wav,374400,376800,0,0,0,0
157,2024-05-20_10_53_33.wav,376800,379200,0,0,0,0
158,2024-05-20_10_53_33.wav,379200,381600,0,0,0,0
159,2024-05-20_10_53_33.wav,381600,384000,0,0,0,0
